         1155632 function calls (1090830 primitive calls) in 1.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     26/5    0.001    0.000    0.638    0.128 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:616(lower_binop)
        2    0.000    0.000    0.629    0.315 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\setobj.py:1206(in_set)
        2    0.000    0.000    0.628    0.314 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\setobj.py:526(contains)
        3    0.000    0.000    0.619    0.206 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\setobj.py:58(get_hash_value)
     3310    0.468    0.000    0.593    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\ffi.py:149(__call__)
       14    0.000    0.000    0.543    0.039 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\types\functions.py:406(get_call_type)
        3    0.000    0.000    0.542    0.181 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:1064(_get_signature)
        2    0.000    0.000    0.542    0.271 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:1122(generic)
        9    0.000    0.000    0.479    0.053 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\cpu.py:216(get_executable)
       18    0.000    0.000    0.476    0.026 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:974(get_pointer_to_function)
    56/39    0.000    0.000    0.475    0.012 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:566(_ensure_finalized)
        9    0.000    0.000    0.475    0.053 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:740(finalize)
    79/73    0.001    0.000    0.428    0.006 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:687(__call__)
        9    0.000    0.000    0.237    0.026 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:782(_finalize_final_module)
       19    0.000    0.000    0.231    0.012 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:724(add_ir_module)
        9    0.000    0.000    0.210    0.023 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:668(_optimize_final_module)
       18    0.000    0.000    0.209    0.012 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\passmanagers.py:203(run)
        9    0.000    0.000    0.194    0.022 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:995(_finalize_specific)
       28    0.000    0.000    0.177    0.006 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:1058(wrapper)
        9    0.000    0.000    0.175    0.019 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\executionengine.py:87(finalize_object)
       90    0.002    0.000    0.158    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:70(run)
  641/407    0.003    0.000    0.121    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\functools.py:947(__get__)
        9    0.000    0.000    0.118    0.013 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:251(create_cfunc_wrapper)
        9    0.001    0.000    0.118    0.013 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\cpu.py:186(create_cfunc_wrapper)
       44    0.001    0.000    0.108    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:790(lower_call)
       42    0.001    0.000    0.105    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1030(_lower_call_normal)
       70    0.000    0.000    0.104    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\module.py:233(__repr__)
       70    0.000    0.000    0.102    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\module.py:207(_get_body_lines)
       70    0.001    0.000    0.101    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\module.py:212(<listcomp>)
40628/7121    0.070    0.000    0.100    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:313(_rec_list_vars)
19698/10084    0.032    0.000    0.097    0.000 {method 'format' of 'str' objects}
      169    0.000    0.000    0.096    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:675(__str__)
      169    0.000    0.000    0.095    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:668(descr)
     5881    0.004    0.000    0.089    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:346(list_vars)
       19    0.000    0.000    0.086    0.005 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:733(add_llvm_module)
11033/4451    0.015    0.000    0.085    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
       20    0.000    0.000    0.084    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:661(descr_body)
      425    0.001    0.000    0.084    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:804(descr)
