         1285522 function calls (1208653 primitive calls) in 1.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.255    0.051 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:217(finalize)
  496/375    0.001    0.000    0.235    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\utils.py:329(__get__)
       11    0.000    0.000    0.180    0.016 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:284(__init__)
1843/1752    0.003    0.000    0.143    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
60418/11352    0.099    0.000    0.141    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:313(_rec_list_vars)
    57/27    0.001    0.000    0.140    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
    97/27    0.000    0.000    0.139    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    41/26    0.000    0.000    0.139    0.005 {built-in method builtins.__import__}
    57/27    0.000    0.000    0.138    0.005 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       22    0.005    0.000    0.129    0.006 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
      121    0.000    0.000    0.128    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:41(usedefs)
      121    0.025    0.000    0.128    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
      184    0.001    0.000    0.128    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:534(lower_assign)
    53/27    0.000    0.000    0.128    0.005 <frozen importlib._bootstrap>:650(_load_unlocked)
