         139373 function calls (131296 primitive calls) in 0.287 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.287    0.287 C:/Users/UserA/projects/githubProjects/PythonNumba/main.py:165(func_2_wrapper)
        1    0.000    0.000    0.287    0.287 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:337(_compile_for_args)
     48/1    0.000    0.000    0.287    0.287 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_lock.py:29(_acquire_compile_lock)
      4/1    0.000    0.000    0.287    0.287 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:784(compile)
      2/1    0.000    0.000    0.287    0.287 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:77(compile)
      2/1    0.000    0.000    0.287    0.287 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:84(_compile_cached)
      2/1    0.000    0.000    0.287    0.287 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\dispatcher.py:99(_compile_core)
      2/1    0.000    0.000    0.287    0.287 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:577(compile_extra)
      2/1    0.000    0.000    0.280    0.280 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:326(compile_extra)
      2/1    0.000    0.000    0.280    0.280 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:396(_compile_bytecode)
      2/1    0.000    0.000    0.280    0.280 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler.py:356(_compile_core)
      2/1    0.000    0.000    0.279    0.279 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:318(run)
    44/22    0.001    0.000    0.279    0.013 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:259(_runPass)
   132/66    0.000    0.000    0.277    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\compiler_machinery.py:263(check)
        2    0.000    0.000    0.199    0.099 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:430(run_pass)
        2    0.000    0.000    0.198    0.099 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:347(run_pass)
        2    0.000    0.000    0.109    0.055 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:174(lower)
      854    0.067    0.000    0.067    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\ffi.py:111(__call__)
        2    0.000    0.000    0.067    0.034 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:225(lower_normal_function)
        2    0.000    0.000    0.065    0.032 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:239(lower_function_body)
        6    0.001    0.000    0.064    0.011 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:263(lower_block)
        5    0.000    0.000    0.062    0.012 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:199(add_ir_module)
